Autor_x,Autor_y,Trabalhos_Juntos
ALINE PAES,PATRICK VALDURIEZ,1
ALINE PAES,PAULO ROBERTO DOS SANTOS CORVAL,1
ALINE PAES,VANESSA BRAGANHOLO,1
ALINE S. O. VALENTE,BEATRIZ F. P. DE OLIVEIRA,1
ALINE S. O. VALENTE,EDWARD RIBEIRO,1
ALINE S. O. VALENTE,MARCIO VICTORINO,1
ALINE S. O. VALENTE,MARISTELA HOLANDA,1
ALLAN SALES,LEANDRO BALBY,1
ALNEU  DE ANDRADE LOPES,ANGELO CESAR MENDES DA SILVA,1
ALNEU  DE ANDRADE LOPES,DIEGO MINATEL,1
ALNEU  DE ANDRADE LOPES,MARIANA CÚRI,1
ALNEU  DE ANDRADE LOPES,NÍCOLAS ROQUE DOS SANTOS,1
ALNEU  DE ANDRADE LOPES,RICARDO MARCONDES MARCACINI,1
ALTIGRAN SOARES DA SILVA,ANISIO LACERDA,1
ALTIGRAN SOARES DA SILVA,BERTHIER RIBEIRO-NETO,1
ALTIGRAN SOARES DA SILVA,CAIO MOURA DAOUD,1
ALTIGRAN SOARES DA SILVA,DAVID B. FERNANDES,1
ALTIGRAN SOARES DA SILVA,ELTON SERRA,1
ALTIGRAN SOARES DA SILVA,FABIANO BOTELHO,1
ALTIGRAN SOARES DA SILVA,JOÃO M. B. CAVALCANTI,1
ALTIGRAN SOARES DA SILVA,LUIZ OSVALDO EVANGELISTA,1
ALTIGRAN SOARES DA SILVA,LÍDIA LIZZIANE SEREJO DE CARVALHO,1
ALTIGRAN SOARES DA SILVA,MARCOS ANDRÉ GONÇALVES,1
ALTIGRAN SOARES DA SILVA,OSVALDO MATOS-JUNIOR,1
ALTIGRAN SOARES DA SILVA,WAGNER MEIRA JR.,1
ALVARO R. PEREIRA JR.,CHRISTIAN MIDDLETON,1
ALVARO R. PEREIRA JR.,HUMBERTO M. ALMEIDA,1
ALVARO R. PEREIRA JR.,MARCOS ANDRÉ GONÇALVES,1
ALVARO R. PEREIRA JR.,OTÁVIO D. A. ALCÂNTARA,1
ALVARO R. PEREIRA JR.,RICARDO BAEZA-YATES,1
ALVARO VALENTIM PEREIRA DE MENEZES BANDEIRA,ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,1
ALVARO VALENTIM PEREIRA DE MENEZES BANDEIRA,GABRIEL MONTEIRO FERRACIOLI,1
ALVARO VALENTIM PEREIRA DE MENEZES BANDEIRA,MOISÉS ROCHA DOS SANTOS,1
AMANDA D. P. VENCESLAU,CAIO VIKTOR S. AVILA,1
AMANDA D. P. VENCESLAU,TULIO VIDAL ROLIM,1
AMANDA D. P. VENCESLAU,VALÉRIA M. PEQUENO,1
AMANDA D. P. VENCESLAU,VANIA MARIA P. VIDAL,1
AMANDA D. P. VENCESLAU,WELLINGTON FRANCO,1
AMON VEIGA SANTANA,JORGE CAMPOS,1
ANA C. LORENA,GUSTAVO P. TORQUETTE,1
ANA C. LORENA,PEDRO Y. A. PAIVA,1
ANA C. LORENA,VICTOR S. NUNES,1
ANA C. Q. SIRAVENHA,ANA C. S. GOMES,1
ANA C. Q. SIRAVENHA,CAROLINA C. ROSA,1
ANA C. Q. SIRAVENHA,CLEISON D. SILVA,1
ANA C. Q. SIRAVENHA,EDUARDO C. CARVALHO,1
ANA C. Q. SIRAVENHA,RAFAEL L. ROCHA,1
ANA C. Q. SIRAVENHA,RENATO C. FERREIRA,1
ANA C. S. GOMES,CAROLINA C. ROSA,1
ANA C. S. GOMES,CLEISON D. SILVA,1
